               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10779,             0.15666,            0.038262,           0.0043864,             0.24904,           0.0040921,          0.00098082,             0.10519,             0.10878,            0.037719,              0.0015,              0.0015,              0.0865
                   1,             0.10628,              0.1585,            0.037794,           0.0034007,             0.26827,           0.0039173,          0.00088069,             0.10388,             0.11113,            0.037639,           0.0030693,           0.0030693,            0.072069
                   2,             0.10227,             0.16268,            0.036969,            0.018444,             0.25713,            0.023069,           0.0042775,             0.10058,             0.11697,            0.037261,           0.0046069,           0.0046069,            0.057607
                   3,            0.098514,             0.18728,            0.035872,            0.019159,             0.29417,            0.030053,           0.0065617,            0.095174,             0.12583,            0.036554,           0.0061129,           0.0061129,            0.043113
                   4,            0.095142,             0.18228,            0.034526,            0.011476,             0.30688,            0.030834,           0.0067169,            0.089829,             0.13198,            0.035303,           0.0075872,           0.0075872,            0.028587
                   5,            0.090902,             0.18258,            0.032282,            0.011877,             0.31258,            0.038436,           0.0093483,            0.083954,             0.13489,            0.032818,           0.0090297,           0.0090297,             0.01403
                   6,            0.088625,             0.19845,            0.029061,             0.02273,             0.41758,              0.0458,            0.010658,            0.077383,             0.13493,            0.029049,            0.009406,            0.009406,            0.009406
                   7,            0.085952,             0.17599,            0.025211,          0.00069595,            0.023148,          0.00058046,          0.00011177,             0.14082,             0.19507,             0.35352,            0.009406,            0.009406,            0.009406
                   8,            0.083071,             0.17513,            0.021204,          0.00065692,             0.17593,          0.00057159,          8.4844e-05,             0.14239,              1.2273,             0.58984,            0.009307,            0.009307,            0.009307
                   9,            0.079213,             0.17104,            0.017641,             0.66871,            0.013889,           0.0013474,          0.00025086,             0.11974,             0.17701,              0.1851,            0.009208,            0.009208,            0.009208
                  10,            0.076105,             0.17828,            0.013871,           0.0061971,             0.20202,           0.0046653,          0.00096469,             0.11115,              0.1796,             0.13918,            0.009109,            0.009109,            0.009109
                  11,            0.073147,             0.16914,            0.011821,             0.74797,             0.10648,            0.061586,            0.012949,            0.096712,              0.1403,            0.098178,             0.00901,             0.00901,             0.00901
                  12,            0.070031,              0.1662,           0.0096862,             0.78348,             0.19444,             0.17644,            0.034589,            0.080562,             0.13236,            0.029292,            0.008911,            0.008911,            0.008911
                  13,              0.0685,             0.16185,           0.0083719,             0.82351,                0.25,             0.23218,            0.061054,            0.072494,             0.13134,            0.017253,            0.008812,            0.008812,            0.008812
                  14,            0.067045,             0.15547,           0.0080619,             0.58046,             0.41743,             0.34023,             0.13612,            0.066943,             0.13079,            0.012456,            0.008713,            0.008713,            0.008713
                  15,            0.066858,             0.17109,           0.0075038,             0.43113,             0.32242,             0.10812,            0.023378,            0.082949,             0.13149,            0.016518,            0.008614,            0.008614,            0.008614
                  16,            0.063999,             0.16133,           0.0066001,             0.52755,             0.45162,             0.31037,             0.11799,            0.063169,             0.12847,            0.011193,            0.008515,            0.008515,            0.008515
                  17,            0.065399,             0.15347,           0.0066687,             0.69536,             0.49581,             0.41092,             0.13714,            0.060549,              0.1184,           0.0074286,            0.008416,            0.008416,            0.008416
                  18,            0.062263,             0.15319,           0.0061357,             0.64518,             0.39409,             0.43554,             0.12931,            0.060705,             0.16179,           0.0090998,            0.008317,            0.008317,            0.008317
                  19,            0.061895,             0.15501,           0.0062093,              0.6495,             0.43493,             0.47198,             0.19605,            0.056606,             0.13616,           0.0079801,            0.008218,            0.008218,            0.008218
                  20,            0.059479,             0.14535,           0.0060882,             0.76697,             0.50571,             0.53134,             0.18465,            0.059039,             0.10821,           0.0060539,            0.008119,            0.008119,            0.008119
                  21,            0.060824,             0.15515,            0.005304,             0.50291,              0.6397,             0.57195,             0.22422,            0.056091,             0.10748,           0.0052906,             0.00802,             0.00802,             0.00802
                  22,            0.061023,             0.15131,           0.0051631,             0.58602,             0.65516,             0.59405,             0.24107,            0.054037,             0.10257,           0.0047218,            0.007921,            0.007921,            0.007921
                  23,            0.056893,             0.15113,           0.0049212,             0.54301,             0.73909,              0.7085,             0.27033,            0.044411,             0.10636,           0.0038633,            0.007822,            0.007822,            0.007822
                  24,            0.055068,             0.14726,            0.004498,             0.64536,             0.75499,               0.752,             0.35863,             0.04258,              0.1002,           0.0035585,            0.007723,            0.007723,            0.007723
                  25,            0.055168,             0.14516,           0.0042836,             0.59158,             0.76502,             0.74287,              0.3309,            0.044366,              0.1053,           0.0032618,            0.007624,            0.007624,            0.007624
                  26,            0.052266,             0.14448,            0.003911,             0.60915,             0.61439,             0.63695,             0.30304,            0.047335,             0.13657,           0.0050266,            0.007525,            0.007525,            0.007525
                  27,              0.0537,             0.14923,           0.0039276,             0.73343,             0.75873,             0.78079,             0.39157,            0.039729,            0.098773,           0.0028339,            0.007426,            0.007426,            0.007426
                  28,            0.053857,              0.1472,           0.0034513,             0.66772,              0.7509,              0.7746,             0.36048,            0.039179,              0.1065,           0.0031997,            0.007327,            0.007327,            0.007327
                  29,            0.052354,              0.1435,           0.0037095,             0.73706,             0.81953,             0.82645,             0.39696,            0.039335,            0.096423,           0.0023119,            0.007228,            0.007228,            0.007228
                  30,            0.049384,             0.15053,           0.0031441,             0.70535,             0.84544,             0.84363,             0.44871,            0.039056,            0.096412,           0.0021802,            0.007129,            0.007129,            0.007129
                  31,            0.049604,             0.14575,           0.0033315,             0.65022,             0.82973,             0.82498,             0.45448,            0.039312,              0.0966,           0.0023235,             0.00703,             0.00703,             0.00703
                  32,            0.050572,             0.13696,           0.0030642,             0.80982,             0.78295,             0.85134,             0.46988,            0.039337,            0.093694,           0.0020621,            0.006931,            0.006931,            0.006931
                  33,            0.049566,             0.14681,           0.0031511,             0.66193,             0.85101,             0.83114,             0.38324,            0.037861,            0.096969,           0.0019528,            0.006832,            0.006832,            0.006832
                  34,            0.046365,             0.13996,           0.0029683,             0.60413,              0.8372,             0.75318,             0.34685,            0.039886,             0.10036,           0.0025503,            0.006733,            0.006733,            0.006733
                  35,            0.046912,             0.14917,           0.0027764,             0.71146,             0.88021,             0.84219,             0.44232,            0.036174,            0.097255,           0.0019643,            0.006634,            0.006634,            0.006634
                  36,            0.045941,             0.14141,           0.0028106,             0.78305,             0.86528,             0.86005,             0.43447,            0.038066,            0.093848,           0.0018077,            0.006535,            0.006535,            0.006535
                  37,            0.047866,             0.14374,           0.0026583,             0.81664,             0.84788,             0.87608,             0.50234,            0.037668,            0.093483,           0.0018442,            0.006436,            0.006436,            0.006436
                  38,            0.046387,              0.1398,           0.0025777,             0.75573,             0.84132,             0.85979,             0.49115,             0.03974,             0.09252,           0.0018055,            0.006337,            0.006337,            0.006337
                  39,            0.047424,             0.13908,           0.0026476,             0.76901,             0.87226,             0.86491,             0.45914,            0.035211,            0.094361,           0.0016881,            0.006238,            0.006238,            0.006238
